brca_metabric:MB-4698	PTPN22,MYH9,SF3B1,PRKCZ,PIK3CA,SIK1
brca_metabric:MB-4708	PTPRM,AHNAK,LAMA2,COL22A1,RPGR,ROS1,HERC2,PIK3CA,ATR,DNAH2
brca_metabric:MB-4716	AHNAK2,SYNE1,NEK1
brca_metabric:MB-4718	GPS2,SYNE1,PIK3CA,CDH1
brca_metabric:MB-4721	NCOR1,ARID1B,L1CAM,ERBB2,PRKACG,FOXO3,AGMO
brca_metabric:MB-4741	SYNE1,PDE4DIP,CDH1,NPNT,PIK3CA,MAP3K1
brca_metabric:MB-4764	COL6A3,PIK3CA,CDH1
brca_metabric:MB-4797	SMAD4,CDH1
brca_metabric:MB-4798	NCOR1,MUC16,GATA3,SIK2,COL12A1
brca_metabric:MB-4828	COL6A3,RYR2,SIK2,CDH1,MYO3A,RUNX1,BRCA1,AKT2
brca_metabric:MB-4846	FANCA,RYR2,ROS1,CDH1,FOXP1,PIK3CA
brca_metabric:MB-4853	SYNE1,NCOR2,SETD2,GATA3,CDH1
brca_metabric:MB-4860	DNAH5,TP53,CDH1,PIK3CA,SIK1,EP300
brca_metabric:MB-4872	AHNAK2,SMAD2,PIK3CA
brca_metabric:MB-4876	SETD2,DNAH5,CACNA2D3,HERC2,EP300
brca_metabric:MB-4968	RB1,NCOR1,FANCA,MUC16,KMT2C,COL22A1,ASXL2
brca_metabric:MB-4978	ZFP36L1,FAM20C,CDH1,TBX3,CBFB
brca_metabric:MB-4992	ARID1B,SYNE1,ERBB3,MUC16,ERBB2,CDH1,BIRC6,BAP1
brca_metabric:MB-4998	SHANK2,NCOR2,MUC16,DNAH11,RPGR,ERBB2,CDH1,MAP3K1,PIK3CA,USH2A,ARID1A
brca_metabric:MB-5074	MUC16,GATA3,PDE4DIP,CDH1,CBFB
brca_metabric:MB-5110	NCOR1,PDE4DIP,CDH1,CBFB,PIK3CA,NF2,KMT2D
brca_metabric:MB-5121	ARID1B,SHANK2,MUC16,LAMB3,CDH1,PIK3CA,ATR
brca_metabric:MB-5147	SYNE1,AHNAK,MUC16,DNAH11,THADA,CDH1,AHNAK2,PIK3CA,SMARCC2,AFF2
brca_metabric:MB-5150	NCOA3
brca_metabric:MB-5176	COL6A3,MYO1A,AHNAK,NCOR2,KMT2C,TG,NCOA3,LAMB3,SIK2,CTCF,PDE4DIP,THADA,CLRN2
